#Temps:  Energie totale:             LAz:             LAa:         a.(w^L):
      0          5.67677         0.153039         0.176715                0
   0.01          5.67672         0.153004         0.176715                0
   0.02          5.67668         0.152969         0.176715                0
   0.03          5.67664         0.152934         0.176715                0
   0.04          5.67659         0.152899         0.176715                0
   0.05          5.67655         0.152865         0.176715                0
   0.06           5.6765         0.152831         0.176714                0
   0.07          5.67645         0.152797         0.176714                0
   0.08           5.6764         0.152764         0.176714                0
   0.09          5.67634         0.152732         0.176714                0
    0.1          5.67629           0.1527         0.176714                0
   0.11          5.67623          0.15267         0.176714                0
   0.12          5.67617          0.15264         0.176713                0
   0.13           5.6761         0.152611         0.176713                0
   0.14          5.67603         0.152583         0.176713                0
   0.15          5.67596         0.152556         0.176712                0
   0.16          5.67589          0.15253         0.176712                0
   0.17          5.67581         0.152505         0.176711                0
   0.18          5.67573         0.152482         0.176711                0
   0.19          5.67564         0.152459          0.17671                0
    0.2          5.67555         0.152437         0.176709                0
   0.21          5.67545         0.152416         0.176709                0
   0.22          5.67535         0.152396         0.176708                0
   0.23          5.67525         0.152377         0.176707                0
   0.24          5.67514         0.152359         0.176706                0
   0.25          5.67503         0.152342         0.176705                0
   0.26          5.67491         0.152325         0.176703                0
   0.27          5.67479          0.15231         0.176702                0
   0.28          5.67466         0.152294         0.176701                0
   0.29          5.67452          0.15228           0.1767                0
    0.3          5.67439         0.152266         0.176698                0
   0.31          5.67424         0.152252         0.176696                0
   0.32          5.67409         0.152239         0.176695                0
   0.33          5.67394         0.152226         0.176693                0
   0.34          5.67378         0.152213         0.176691                0
   0.35          5.67361           0.1522         0.176689                0
   0.36          5.67344         0.152187         0.176687                0
   0.37          5.67326         0.152174         0.176685                0
   0.38          5.67308         0.152161         0.176683                0
   0.39          5.67289         0.152147         0.176681                0
    0.4          5.67269         0.152133         0.176678                0
   0.41          5.67249         0.152119         0.176676                0
   0.42          5.67228         0.152103         0.176673                0
   0.43          5.67206         0.152087          0.17667                0
   0.44          5.67184         0.152071         0.176668                0
   0.45          5.67161         0.152053         0.176665                0
   0.46          5.67137         0.152034         0.176662                0
   0.47          5.67113         0.152013         0.176658                0
   0.48          5.67088         0.151992         0.176655                0
   0.49          5.67062         0.151969         0.176652                0
    0.5          5.67035         0.151944         0.176648                0
   0.51          5.67008         0.151917         0.176644                0
   0.52           5.6698         0.151888         0.176641                0
   0.53          5.66952         0.151857         0.176637                0
   0.54          5.66923         0.151824         0.176633                0
   0.55          5.66893         0.151789         0.176628                0
   0.56          5.66863         0.151751         0.176624                0
   0.57          5.66832          0.15171         0.176619                0
   0.58            5.668         0.151667         0.176615                0
   0.59          5.66768          0.15162          0.17661                0
    0.6          5.66735         0.151571         0.176605                0
   0.61          5.66702         0.151519           0.1766                0
   0.62          5.66669         0.151463         0.176595                0
   0.63          5.66636         0.151405          0.17659                0
   0.64          5.66602         0.151343         0.176585                0
   0.65          5.66568         0.151278         0.176579                0
   0.66          5.66535         0.151211         0.176574                0
   0.67          5.66502          0.15114         0.176568                0
   0.68          5.66469         0.151067         0.176563                0
   0.69          5.66437         0.150992         0.176557                0
    0.7          5.66406         0.150916         0.176552                0
   0.71          5.66376         0.150838         0.176546                0
   0.72          5.66348         0.150759         0.176541                0
   0.73          5.66322         0.150681         0.176535                0
   0.74          5.66298         0.150604          0.17653                0
   0.75          5.66278         0.150529         0.176525                0
   0.76          5.66261         0.150458         0.176521                0
   0.77          5.66248         0.150393         0.176516                0
   0.78           5.6624         0.150334         0.176513                0
   0.79          5.66239         0.150285         0.176509                0
    0.8          5.66245         0.150247         0.176506                0
   0.81          5.66259         0.150222         0.176504                0
   0.82          5.66282         0.150214         0.176503                0
   0.83          5.66316         0.150226         0.176503                0
   0.84          5.66363          0.15026         0.176503                0
   0.85          5.66424          0.15032         0.176505                0
   0.86          5.66501         0.150408         0.176507                0
   0.87          5.66595          0.15053         0.176512                0
   0.88          5.66709         0.150687         0.176517                0
   0.89          5.66843         0.150882         0.176524                0
    0.9             5.67         0.151119         0.176533                0
   0.91          5.67181         0.151399         0.176543                0
   0.92          5.67387         0.151724         0.176556                0
   0.93          5.67618         0.152094         0.176569                0
   0.94          5.67875          0.15251         0.176585                0
   0.95          5.68156         0.152968         0.176602                0
   0.96          5.68461         0.153468         0.176621                0
   0.97          5.68787         0.154004         0.176641                0
   0.98          5.69131         0.154571         0.176662                0
   0.99          5.69491         0.155164         0.176684                0
      1          5.69861         0.155774         0.176707                0
   1.01          5.70238         0.156394          0.17673                0
   1.02          5.70615         0.157014         0.176753                0
   1.03          5.70989         0.157626         0.176776                0
   1.04          5.71353         0.158222         0.176799                0
   1.05          5.71704         0.158794         0.176821                0
   1.06          5.72038         0.159334         0.176841                0
   1.07           5.7235         0.159836         0.176861                0
   1.08          5.72639         0.160297         0.176878                0
   1.09          5.72903         0.160711         0.176895                0
    1.1          5.73141         0.161078         0.176909                0
   1.11          5.73351         0.161397         0.176921                0
   1.12          5.73536         0.161668         0.176932                0
   1.13          5.73696         0.161893         0.176941                0
   1.14          5.73831         0.162074         0.176948                0
   1.15          5.73944         0.162214         0.176954                0
   1.16          5.74037         0.162317         0.176958                0
   1.17          5.74111         0.162386          0.17696                0
   1.18          5.74169         0.162425         0.176961                0
   1.19          5.74212         0.162438         0.176961                0
    1.2          5.74242         0.162429          0.17696                0
   1.21          5.74261         0.162402         0.176958                0
   1.22          5.74269         0.162358         0.176955                0
   1.23           5.7427         0.162303         0.176952                0
   1.24          5.74263         0.162237         0.176948                0
   1.25          5.74251         0.162164         0.176943                0
   1.26          5.74233         0.162086         0.176938                0
   1.27          5.74212         0.162004         0.176933                0
   1.28          5.74187          0.16192         0.176927                0
   1.29          5.74159         0.161836         0.176921                0
    1.3          5.74129         0.161752         0.176915                0
   1.31          5.74097         0.161669         0.176909                0
   1.32          5.74064         0.161588         0.176903                0
   1.33           5.7403          0.16151         0.176897                0
   1.34          5.73995         0.161435         0.176891                0
   1.35          5.73959         0.161363         0.176885                0
   1.36          5.73924         0.161295         0.176879                0
   1.37          5.73888         0.161231         0.176874                0
   1.38          5.73853          0.16117         0.176868                0
   1.39          5.73817         0.161113         0.176862                0
    1.4          5.73782          0.16106         0.176857                0
   1.41          5.73748         0.161011         0.176852                0
   1.42          5.73714         0.160965         0.176846                0
   1.43           5.7368         0.160923         0.176841                0
   1.44          5.73648         0.160884         0.176837                0
   1.45          5.73615         0.160849         0.176832                0
   1.46          5.73584         0.160816         0.176827                0
   1.47          5.73553         0.160787         0.176823                0
   1.48          5.73523          0.16076         0.176818                0
   1.49          5.73494         0.160736         0.176814                0
    1.5          5.73465         0.160715          0.17681                0
   1.51          5.73438         0.160696         0.176806                0
   1.52          5.73411         0.160679         0.176803                0
   1.53          5.73385         0.160664         0.176799                0
   1.54          5.73359         0.160651         0.176796                0
   1.55          5.73335          0.16064         0.176792                0
   1.56          5.73311         0.160631         0.176789                0
   1.57          5.73288         0.160623         0.176786                0
   1.58          5.73265         0.160617         0.176783                0
   1.59          5.73244         0.160612          0.17678                0
    1.6          5.73223         0.160609         0.176777                0
   1.61          5.73203         0.160606         0.176775                0
   1.62          5.73183         0.160605         0.176772                0
   1.63          5.73164         0.160605          0.17677                0
   1.64          5.73146         0.160605         0.176767                0
   1.65          5.73128         0.160607         0.176765                0
   1.66          5.73111         0.160609         0.176763                0
   1.67          5.73095         0.160612          0.17676                0
   1.68          5.73079         0.160615         0.176758                0
   1.69          5.73064         0.160619         0.176756                0
    1.7          5.73049         0.160624         0.176755                0
   1.71          5.73035         0.160629         0.176753                0
   1.72          5.73021         0.160634         0.176751                0
   1.73          5.73008         0.160639         0.176749                0
   1.74          5.72996         0.160645         0.176747                0
   1.75          5.72983         0.160651         0.176746                0
   1.76          5.72972         0.160656         0.176744                0
   1.77           5.7296         0.160662         0.176743                0
   1.78          5.72949         0.160668         0.176741                0
   1.79          5.72939         0.160673          0.17674                0
    1.8          5.72929         0.160678         0.176739                0
   1.81          5.72919         0.160682         0.176738                0
   1.82           5.7291         0.160685         0.176736                0
   1.83          5.72902         0.160688         0.176735                0
   1.84          5.72893          0.16069         0.176734                0
   1.85          5.72885         0.160691         0.176733                0
   1.86          5.72878          0.16069         0.176732                0
   1.87          5.72871         0.160688         0.176731                0
   1.88          5.72865         0.160685         0.176731                0
   1.89          5.72859         0.160679          0.17673                0
    1.9          5.72854         0.160672         0.176729                0
   1.91           5.7285         0.160662         0.176729                0
   1.92          5.72846         0.160649         0.176728                0
   1.93          5.72843         0.160633         0.176728                0
   1.94          5.72841         0.160615         0.176728                0
   1.95           5.7284         0.160593         0.176727                0
   1.96           5.7284         0.160568         0.176727                0
   1.97          5.72841         0.160539         0.176728                0
   1.98          5.72844         0.160506         0.176728                0
   1.99          5.72847         0.160469         0.176728                0
      2          5.72852         0.160428         0.176728                0
   2.01          5.72858         0.160383         0.176729                0
   2.02          5.72865         0.160335          0.17673                0
   2.03          5.72873         0.160283          0.17673                0
   2.04          5.72883         0.160228         0.176731                0
